DDP
9.86
9.52
8.81
8.16
7.26
6.75
6.02
5.58
4.98
4.62
4.12
3.82
3.41
3.17
2.83
2.62
2.34
2.18
1.94
1.80
1.61
1.50
1.34
1.27
1.11
1.03
0.92
0.82
0.77
0.71
0.64
0.59
0.53
0.47
0.44
0.39
0.37
0.33
0.30
0.28
0.25
0.24
0.21
0.20
0.18
0.16
0.15
0.13
0.12
0.11
0.10
0.09
0.08
0.08
0.07
0.07
0.06
0.06
0.05
0.05
0.04
0.03
0.03
0.03
0.02
0.02
0.02
0.02
0.02
