DDP
9.86
9.61
9.13
8.83
8.39
8.11
7.71
7.45
7.08
6.85
6.51
6.30
5.99
5.70
5.51
5.33
5.07
4.90
4.66
4.43
4.29
4.01
3.95
3.82
3.63
3.45
3.34
3.18
3.08
2.93
2.83
2.69
2.61
2.52
2.40
2.32
2.21
2.14
2.04
1.97
1.87
1.73
1.64
1.59
1.54
1.46
1.42
1.35
1.31
1.24
1.20
1.15
1.11
1.06
1.02
0.97
0.93
0.90
0.87
0.83
0.79
0.76
0.74
0.70
0.68
0.65
0.63
0.60
0.58
0.55
0.53
0.51
0.49
0.47
0.46
0.43
0.41
0.40
0.39
0.37
0.36
0.34
0.33
0.32
0.31
0.29
0.28
0.27
0.26
0.25
0.24
0.23
0.21
0.20
0.19
0.19
0.18
0.18
0.17
0.17
0.16
0.15
0.15
0.14
0.14
0.13
0.13
0.12
0.12
0.11
0.11
0.11
0.10
0.10
0.10
0.09
0.09
0.09
0.09
0.08
0.08
0.08
0.08
0.07
0.07
0.07
0.07
0.06
0.06
0.06
0.06
0.05
0.05
0.05
0.05
0.05
0.05
0.04
0.04
0.04
0.04
0.04
0.04
0.04
