DDP
9.88
9.37
8.75
8.06
7.72
7.34
7.16
6.94
6.83
6.70
6.63
6.65
6.50
6.45
6.42
6.38
6.35
6.32
6.28
6.26
6.23
6.22
6.21
6.18
6.17
6.16
6.15
6.13
6.11
6.10
6.09
6.08
6.07
6.06
6.05
6.04
6.03
6.02
6.00
5.99
5.97
5.96
5.95
5.94
5.94
5.93
5.92
5.90
5.90
5.89
5.88
5.87
5.87
5.87
5.86
5.86
5.86
