Tempo(s),Canal 1(V),Canal 2(V)
-25.00000E-03,+113.22236E-03,+1.75047109E+00
-24.97500E-03,+75.83543E-03,+1.73822234E+00
-24.95000E-03,+40.28266E-03,+1.72931531E+00
-24.92500E-03,+4.00125E-03,+1.72009420E+00
-24.90000E-03,-30.47111E-03,+1.71310928E+00
-24.87500E-03,-68.31030E-03,+1.70266958E+00
-24.85000E-03,-100.50880E-03,+1.69382536E+00
-24.82500E-03,-138.41081E-03,+1.68640074E+00
-24.80000E-03,-174.18970E-03,+1.67839822E+00
-24.77500E-03,-211.19975E-03,+1.67020727E+00
-24.75000E-03,-246.89071E-03,+1.66303390E+00
-24.72500E-03,-284.06407E-03,+1.65114948E+00
-24.70000E-03,-317.10427E-03,+1.64397611E+00
-24.67500E-03,-353.20980E-03,+1.63523239E+00
-24.65000E-03,-393.44849E-03,+1.62630023E+00
-24.62500E-03,-424.52890E-03,+1.61831028E+00
-24.60000E-03,-454.59172E-03,+1.61047109E+00
-24.57500E-03,-498.02136E-03,+1.60070978E+00
-24.55000E-03,-541.99121E-03,+1.59274495E+00
-24.52500E-03,-582.20477E-03,+1.58136304E+00
-24.50000E-03,-623.90075E-03,+1.57635048E+00
-24.47500E-03,-656.68972E-03,+1.56744345E+00
-24.45000E-03,-691.96608E-03,+1.55866204E+00
-24.42500E-03,-730.27010E-03,+1.54951631E+00
-24.40000E-03,-762.28016E-03,+1.54042084E+00
-24.37500E-03,-793.18468E-03,+1.53533289E+00
-24.35000E-03,-828.63694E-03,+1.52599872E+00
-24.32500E-03,-854.94347E-03,+1.51779520E+00
-24.30000E-03,-888.38567E-03,+1.51018214E+00
-24.27500E-03,-918.43594E-03,+1.50152637E+00
-24.25000E-03,-944.18972E-03,+1.49739319E+00
-24.22500E-03,-978.82537E-03,+1.48599873E+00
-24.20000E-03,-1.00927766E+00,+1.48043340E+00
-24.17500E-03,-1.03179021E+00,+1.47107410E+00
-24.15000E-03,-1.06349872E+00,+1.46480526E+00
-24.12500E-03,-1.09802135E+00,+1.45524496E+00
-24.10000E-03,-1.12328521E+00,+1.44657662E+00
-24.07500E-03,-1.15082289E+00,+1.44082285E+00
-24.05000E-03,-1.19726762E+00,+1.43434044E+00
-24.02500E-03,-1.22682793E+00,+1.42509421E+00
-24.00000E-03,-1.25794599E+00,+1.41893842E+00
-23.97500E-03,-1.29916453E+00,+1.41072234E+00
-23.95000E-03,-1.33584800E+00,+1.40294596E+00
-23.92500E-03,-1.36676514E+00,+1.39666454E+00
-23.90000E-03,-1.40667711E+00,+1.38569721E+00
-23.87500E-03,-1.48853651E+00,+1.38288314E+00
-23.85000E-03,-1.54900130E+00,+1.37444094E+00
-23.82500E-03,-1.56862433E+00,+1.36735551E+00
-23.80000E-03,-1.58442835E+00,+1.36170224E+00
-23.77500E-03,-1.60155158E+00,+1.35413942E+00
-23.75000E-03,-1.65248122E+00,+1.34594847E+00
-23.72500E-03,-1.72984304E+00,+1.33866204E+00
-23.70000E-03,-1.77380033E+00,+1.33336053E+00
-23.67500E-03,-1.80194090E+00,+1.32549621E+00
-23.65000E-03,-1.83766955E+00,+1.31594847E+00
-23.62500E-03,-1.87069732E+00,+1.31001883E+00
-23.60000E-03,-1.90955409E+00,+1.30446606E+00
-23.57500E-03,-1.96813449E+00,+1.29777008E+00
-23.55000E-03,-2.00640085E+00,+1.29048365E+00
-23.52500E-03,-2.03932785E+00,+1.28421481E+00
-23.50000E-03,-2.08325998E+00,+1.27722987E+00
-23.47500E-03,-2.11289580E+00,+1.26916456E+00
-23.45000E-03,-2.14261947E+00,+1.26435299E+00
-23.42500E-03,-2.19349873E+00,+1.25509420E+00
-23.40000E-03,-2.23273254E+00,+1.24753138E+00
-23.37500E-03,-2.26127516E+00,+1.24343591E+00
-23.35000E-03,-2.31011925E+00,+1.23770727E+00
-23.32500E-03,-2.34972990E+00,+1.23324747E+00
-23.30000E-03,-2.36147625E+00,+1.22454143E+00
-23.27500E-03,-2.39342330E+00,+1.21456655E+00
-23.25000E-03,-2.43677779E+00,+1.21001882E+00
-23.22500E-03,-2.47189078E+00,+1.20495601E+00
-23.20000E-03,-2.52677752E+00,+1.19633792E+00
-23.17500E-03,-2.56911431E+00,+1.18934044E+00
-23.15000E-03,-2.58535820E+00,+1.18431531E+00
-23.12500E-03,-2.62609931E+00,+1.17886305E+00
-23.10000E-03,-2.68509438E+00,+1.17256907E+00
-23.07500E-03,-2.71462950E+00,+1.16751882E+00
-23.05000E-03,-2.75305892E+00,+1.16000627E+00
-23.02500E-03,-2.80060923E+00,+1.15229269E+00
-23.00000E-03,-2.81724264E+00,+1.14877509E+00
-22.97500E-03,-2.84955409E+00,+1.14329772E+00
-22.95000E-03,-2.91210440E+00,+1.13434044E+00
-22.92500E-03,-2.93980544E+00,+1.12882536E+00
-22.90000E-03,-2.96526996E+00,+1.12015701E+00
-22.87500E-03,-3.00788306E+00,+1.11403893E+00
-22.85000E-03,-3.02441601E+00,+1.10994345E+00
-22.82500E-03,-3.04559682E+00,+1.10393842E+00
-22.80000E-03,-3.09873756E+00,+1.09619972E+00
-22.77500E-03,-3.11464210E+00,+1.09288315E+00
-22.75000E-03,-3.12810914E+00,+1.08778265E+00
-22.72500E-03,-3.16405141E+00,+1.08096102E+00
-22.70000E-03,-3.17999390E+00,+1.07234296E+00
-22.67500E-03,-3.20143850E+00,+1.06836053E+00
-22.65000E-03,-3.25484316E+00,+1.06266958E+00
-22.62500E-03,-3.26347368E+00,+1.05568465E+00
-22.60000E-03,-3.27744323E+00,+1.04922736E+00
-22.57500E-03,-3.30524500E+00,+1.04351129E+00
-22.55000E-03,-3.31421503E+00,+1.03848616E+00
-22.52500E-03,-3.34719209E+00,+1.03236806E+00
-22.50000E-03,-3.38300862E+00,+1.02810928E+00
-22.47500E-03,-3.38643838E+00,+1.02297109E+00
-22.45000E-03,-3.41327243E+00,+1.01501883E+00
-22.42500E-03,-3.44998134E+00,+1.01175249E+00
-22.40000E-03,-3.47146373E+00,+1.00532035E+00
-22.37500E-03,-3.50474227E+00,+998.90074E-03
-22.35000E-03,-3.53021985E+00,+994.44093E-03
-22.32500E-03,-3.54971711E+00,+988.68717E-03
-22.30000E-03,-3.58986813E+00,+984.34041E-03
-22.27500E-03,-3.61420249E+00,+977.95853E-03
-22.25000E-03,-3.64318452E+00,+972.51883E-03
-22.22500E-03,-3.67632525E+00,+967.41833E-03
-22.20000E-03,-3.67362461E+00,+962.10426E-03
-22.17500E-03,-3.70809658E+00,+956.95352E-03
-22.15000E-03,-3.74549645E+00,+950.42082E-03
-22.12500E-03,-3.75631282E+00,+944.75502E-03
-22.10000E-03,-3.77993063E+00,+938.13443E-03
-22.07500E-03,-3.79418986E+00,+937.25501E-03
-22.05000E-03,-3.80078539E+00,+931.85300E-03
-22.02500E-03,-3.85533317E+00,+925.16957E-03
-22.00000E-03,-3.84921501E+00,+922.14194E-03
-21.97500E-03,-3.85376209E+00,+915.21985E-03
-21.95000E-03,-3.88647626E+00,+911.18715E-03
-21.92500E-03,-3.87983074E+00,+907.00375E-03
-21.90000E-03,-3.92221693E+00,+902.28013E-03
-21.87500E-03,-3.94425234E+00,+896.82786E-03
-21.85000E-03,-3.92064652E+00,+890.83539E-03
-21.82500E-03,-3.97283287E+00,+888.83791E-03
-21.80000E-03,-3.97177811E+00,+885.47108E-03
-21.77500E-03,-3.98766920E+00,+878.24746E-03
-21.75000E-03,-4.01127497E+00,+875.78514E-03
-21.72500E-03,-3.98524534E+00,+869.08917E-03
-21.70000E-03,-4.02015689E+00,+865.37058E-03
-21.67500E-03,-4.03420253E+00,+862.02891E-03
-21.65000E-03,-4.02991822E+00,+855.63438E-03
-21.62500E-03,-4.04940303E+00,+851.16202E-03
-21.60000E-03,-4.03910198E+00,+846.65200E-03
-21.57500E-03,-4.04755649E+00,+842.49371E-03
-21.55000E-03,-4.07318491E+00,+839.80529E-03
-21.52500E-03,-4.05990567E+00,+834.54143E-03
-21.50000E-03,-4.07710403E+00,+828.98868E-03
-21.47500E-03,-4.08187838E+00,+824.26509E-03
-21.45000E-03,-4.08456652E+00,+821.56403E-03
-21.42500E-03,-4.11108639E+00,+814.72990E-03
-21.40000E-03,-4.09191564E+00,+812.95854E-03
-21.37500E-03,-4.10687795E+00,+807.31784E-03
-21.35000E-03,-4.11292105E+00,+802.16705E-03
-21.32500E-03,-4.10153879E+00,+798.83793E-03
-21.30000E-03,-4.10446587E+00,+795.73489E-03
-21.27500E-03,-4.09918995E+00,+791.76508E-03
-21.25000E-03,-4.12075996E+00,+786.58919E-03
-21.22500E-03,-4.13929045E+00,+783.10933E-03
-21.20000E-03,-4.12581013E+00,+779.16457E-03
-21.17500E-03,-4.13847341E+00,+775.92336E-03
-21.15000E-03,-4.13763217E+00,+772.24242E-03
-21.12500E-03,-4.14130005E+00,+768.37311E-03
-21.10000E-03,-4.15315929E+00,+763.66205E-03
-21.07500E-03,-4.13256881E+00,+758.63693E-03
-21.05000E-03,-4.14498110E+00,+754.15201E-03
-21.02500E-03,-4.14849900E+00,+751.90326E-03
-21.00000E-03,-4.15587283E+00,+748.58668E-03
-20.97500E-03,-4.16114942E+00,+742.56906E-03
-20.95000E-03,-4.14785828E+00,+738.87562E-03
-20.92500E-03,-4.16903895E+00,+736.28769E-03
-20.90000E-03,-4.17496882E+00,+732.00375E-03
-20.87500E-03,-4.17176477E+00,+728.29773E-03
-20.85000E-03,-4.17937812E+00,+723.46105E-03
-20.82500E-03,-4.17298387E+00,+721.55146E-03
-20.80000E-03,-4.19425222E+00,+716.40073E-03
-20.77500E-03,-4.18787075E+00,+713.44848E-03
-20.75000E-03,-4.17685267E+00,+712.78267E-03
-20.72500E-03,-4.19661442E+00,+707.26757E-03
-20.70000E-03,-4.18901397E+00,+703.86304E-03
-20.67500E-03,-4.20025721E+00,+698.76255E-03
-20.65000E-03,-4.20250635E+00,+696.65193E-03
-20.62500E-03,-4.18828539E+00,+691.42587E-03
-20.60000E-03,-4.21621248E+00,+687.36804E-03
-20.57500E-03,-4.20411438E+00,+684.07661E-03
