Tempo(s),Canal 1(V),Canal 2(V)
-25.00000E-03,+66.42588E-03,+3.14934042E+00
-24.97500E-03,+29.81784E-03,+3.14383791E+00
-24.95000E-03,-5.29523E-03,+3.14339821E+00
-24.92500E-03,-41.58920E-03,+3.14087308E+00
-24.90000E-03,-74.89322E-03,+3.14186554E+00
-24.87500E-03,-112.40578E-03,+3.13916454E+00
-24.85000E-03,-148.59925E-03,+3.13614946E+00
-24.82500E-03,-184.88066E-03,+3.13437811E+00
-24.80000E-03,-226.01131E-03,+3.13235549E+00
-24.77500E-03,-263.93844E-03,+3.13349871E+00
-24.75000E-03,-299.78015E-03,+3.12854896E+00
-24.72500E-03,-331.32538E-03,+3.12911429E+00
-24.70000E-03,-366.61433E-03,+3.12662685E+00
-24.67500E-03,-408.14699E-03,+3.12581027E+00
-24.65000E-03,-435.08166E-03,+3.12445348E+00
-24.62500E-03,-468.81282E-03,+3.12170222E+00
-24.60000E-03,-514.89322E-03,+3.11929017E+00
-24.57500E-03,-556.97865E-03,+3.11706655E+00
-24.55000E-03,-598.86307E-03,+3.11411429E+00
-24.52500E-03,-638.13443E-03,+3.11603640E+00
-24.50000E-03,-668.56156E-03,+3.11228012E+00
-24.47500E-03,-705.52136E-03,+3.11124997E+00
-24.45000E-03,-744.27765E-03,+3.11308414E+00
-24.42500E-03,-775.52137E-03,+3.10882534E+00
-24.40000E-03,-809.21482E-03,+3.10614947E+00
-24.37500E-03,-842.49372E-03,+3.10599871E+00
-24.35000E-03,-869.27764E-03,+3.10259419E+00
-24.32500E-03,-903.33542E-03,+3.10072232E+00
-24.30000E-03,-933.97614E-03,+3.09940323E+00
-24.27500E-03,-961.37564E-03,+3.09765700E+00
-24.25000E-03,-994.00124E-03,+3.09437811E+00
-24.22500E-03,-1.02633793E+00,+3.09341077E+00
-24.20000E-03,-1.04984296E+00,+3.09343590E+00
-24.17500E-03,-1.08454144E+00,+3.09156404E+00
-24.15000E-03,-1.11913946E+00,+3.08826001E+00
-24.12500E-03,-1.14444098E+00,+3.08633791E+00
-24.10000E-03,-1.17794598E+00,+3.08652635E+00
-24.07500E-03,-1.21662686E+00,+3.08367459E+00
-24.05000E-03,-1.24869978E+00,+3.08435298E+00
-24.02500E-03,-1.27442838E+00,+3.07974242E+00
-24.00000E-03,-1.31724244E+00,+3.07930273E+00
-23.97500E-03,-1.35388821E+00,+3.07730525E+00
-23.95000E-03,-1.38535810E+00,+3.07818464E+00
-23.92500E-03,-1.44034551E+00,+3.07533288E+00
-23.90000E-03,-1.53147621E+00,+3.07386304E+00
-23.87500E-03,-1.55788316E+00,+3.07032032E+00
-23.85000E-03,-1.57204141E+00,+3.06983037E+00
-23.82500E-03,-1.59055906E+00,+3.06612434E+00
-23.80000E-03,-1.62971740E+00,+3.06760674E+00
-23.77500E-03,-1.69373746E+00,+3.06441578E+00
-23.75000E-03,-1.75769470E+00,+3.06077259E+00
-23.72500E-03,-1.79476760E+00,+3.06049619E+00
-23.70000E-03,-1.81964191E+00,+3.05922736E+00
-23.67500E-03,-1.86038317E+00,+3.05587308E+00
-23.65000E-03,-1.90425260E+00,+3.05397610E+00
