Tempo(s),Canal 1(V),Canal 2(V)
-25.00000E-03,+81.18719E-03,+3.50581026E+00
-24.97500E-03,+47.01633E-03,+3.50518212E+00
-24.95000E-03,+9.74246E-03,+3.50337308E+00
-24.92500E-03,-24.37814E-03,+3.50534544E+00
-24.90000E-03,-56.18719E-03,+3.50515700E+00
-24.87500E-03,-89.60427E-03,+3.50587308E+00
-24.85000E-03,-122.92086E-03,+3.50768212E+00
-24.82500E-03,-160.11935E-03,+3.50548363E+00
-24.80000E-03,-197.73242E-03,+3.50588564E+00
-24.77500E-03,-233.10930E-03,+3.50628765E+00
-24.75000E-03,-270.38317E-03,+3.50593589E+00
-24.72500E-03,-304.72990E-03,+3.50771981E+00
-24.70000E-03,-339.32789E-03,+3.50304645E+00
-24.67500E-03,-377.29272E-03,+3.50323488E+00
-24.65000E-03,-416.32538E-03,+3.50579770E+00
-24.62500E-03,-444.00126E-03,+3.50505649E+00
-24.60000E-03,-482.82036E-03,+3.50462936E+00
-24.57500E-03,-527.49373E-03,+3.50793338E+00
-24.55000E-03,-574.93091E-03,+3.50569720E+00
-24.52500E-03,-617.66961E-03,+3.50749369E+00
-24.50000E-03,-647.83291E-03,+3.50518212E+00
-24.47500E-03,-683.13442E-03,+3.50427760E+00
-24.45000E-03,-719.95604E-03,+3.50396353E+00
-24.42500E-03,-757.00377E-03,+3.50746856E+00
-24.40000E-03,-787.71985E-03,+3.50570976E+00
-24.37500E-03,-821.76508E-03,+3.50612433E+00
-24.35000E-03,-850.08166E-03,+3.50501881E+00
-24.32500E-03,-885.04398E-03,+3.50500625E+00
-24.30000E-03,-910.83543E-03,+3.50516956E+00
-24.27500E-03,-944.29020E-03,+3.50439066E+00
-24.25000E-03,-974.90578E-03,+3.50310927E+00
-24.22500E-03,-1.00238067E+00,+3.50489318E+00
-24.20000E-03,-1.03429020E+00,+3.50518212E+00
-24.17500E-03,-1.07191584E+00,+3.50351127E+00
-24.15000E-03,-1.10211685E+00,+3.50401377E+00
-24.12500E-03,-1.13263191E+00,+3.50461679E+00
-24.10000E-03,-1.16955400E+00,+3.50420221E+00
-24.07500E-03,-1.19785805E+00,+3.50576001E+00
-24.05000E-03,-1.22471732E+00,+3.50334795E+00
-24.02500E-03,-1.26773241E+00,+3.50486805E+00
-24.00000E-03,-1.30216711E+00,+3.50555901E+00
-23.97500E-03,-1.33490579E+00,+3.50591077E+00
-23.95000E-03,-1.37450377E+00,+3.50472986E+00
-23.92500E-03,-1.42045855E+00,+3.50557157E+00
-23.90000E-03,-1.48439073E+00,+3.50300875E+00
-23.87500E-03,-1.54393844E+00,+3.50593589E+00
-23.85000E-03,-1.56385050E+00,+3.50540825E+00
-23.82500E-03,-1.57430277E+00,+3.50486805E+00
-23.80000E-03,-1.59686559E+00,+3.50516956E+00
-23.77500E-03,-1.64967967E+00,+3.50544594E+00
-23.75000E-03,-1.70807166E+00,+3.50612433E+00
-23.72500E-03,-1.75782034E+00,+3.50465448E+00
-23.70000E-03,-1.79123745E+00,+3.50560926E+00
-23.67500E-03,-1.82412692E+00,+3.50535801E+00
-23.65000E-03,-1.86047112E+00,+3.50270724E+00
-23.62500E-03,-1.90373743E+00,+3.50518212E+00
-23.60000E-03,-1.94670229E+00,+3.50241831E+00
-23.57500E-03,-1.98504395E+00,+3.50263187E+00
-23.55000E-03,-2.02570982E+00,+3.50290826E+00
