Segundos(s),Canal 1(V),Canal 2(V)
-44.70000E-03,+16.89648247E+00,+3.01507540E+00
-44.65000E-03,+16.54472367E+00,+3.01507540E+00
-44.60000E-03,+17.19799001E+00,+3.19095480E+00
-44.55000E-03,+16.49447241E+00,+3.04020103E+00
-44.50000E-03,+16.84623121E+00,+3.04020103E+00
-44.45000E-03,+9.05728643E+00,+2.41206032E+00
-44.40000E-03,+816.08033E-03,+1.18090453E+00
-44.35000E-03,-4.41005036E+00,+25.12563E-03
-44.30000E-03,-8.07839210E+00,-427.13568E-03
-44.25000E-03,-11.24422127E+00,-1.03015076E+00
-44.20000E-03,-13.30452279E+00,-1.80904524E+00
-44.15000E-03,-14.46030170E+00,-1.83417087E+00
-44.10000E-03,-15.26432180E+00,-2.01005027E+00
-44.05000E-03,-16.01809065E+00,-2.41206032E+00
-44.00000E-03,-16.42010071E+00,-2.41206032E+00
-43.95000E-03,-16.11859317E+00,-2.41206032E+00
-43.90000E-03,-16.47035196E+00,-2.41206032E+00
-43.85000E-03,-16.87236202E+00,-2.58793972E+00
-43.80000E-03,-16.52060322E+00,-2.41206032E+00
-43.75000E-03,-17.22412081E+00,-2.58793972E+00
-43.70000E-03,-16.87236202E+00,-2.43718595E+00
-43.65000E-03,-16.87236202E+00,-2.41206032E+00
-43.60000E-03,-16.82211076E+00,-2.41206032E+00
-43.55000E-03,-17.27437207E+00,-2.58793972E+00
-43.50000E-03,-16.87236202E+00,-2.41206032E+00
-43.45000E-03,-16.87236202E+00,-2.41206032E+00
-43.40000E-03,-16.87236202E+00,-2.43718595E+00
-43.35000E-03,-17.22412081E+00,-2.41206032E+00
-43.30000E-03,-16.92261327E+00,-2.58793972E+00
-43.25000E-03,-16.87236202E+00,-2.41206032E+00
-43.20000E-03,-16.87236202E+00,-2.41206032E+00
-43.15000E-03,-16.62110573E+00,-2.41206032E+00
-43.10000E-03,-16.87236202E+00,-2.58793972E+00
-43.05000E-03,-17.22412081E+00,-2.58793972E+00
-43.00000E-03,-16.92261327E+00,-2.58793972E+00
-42.95000E-03,-16.87236202E+00,-2.41206032E+00
-42.90000E-03,-16.52060322E+00,-2.41206032E+00
-42.85000E-03,-16.82211076E+00,-2.41206032E+00
-42.80000E-03,-16.52060322E+00,-2.41206032E+00
-42.75000E-03,-16.82211076E+00,-2.58793972E+00
-42.70000E-03,-16.92261327E+00,-2.43718595E+00
-42.65000E-03,-16.87236202E+00,-2.61306535E+00
-42.60000E-03,-16.52060322E+00,-2.41206032E+00
-42.55000E-03,-16.87236202E+00,-2.41206032E+00
-42.50000E-03,-17.22412081E+00,-2.43718595E+00
-42.45000E-03,-16.87236202E+00,-2.58793972E+00
-42.40000E-03,-16.92261327E+00,-2.61306535E+00
-42.35000E-03,-17.27437207E+00,-2.76381912E+00
-42.30000E-03,-16.87236202E+00,-2.41206032E+00
-42.25000E-03,-16.87236202E+00,-2.58793972E+00
-42.20000E-03,-16.92261327E+00,-2.43718595E+00
-42.15000E-03,-16.87236202E+00,-2.61306535E+00
-42.10000E-03,-16.92261327E+00,-2.58793972E+00
-42.05000E-03,-17.22412081E+00,-2.41206032E+00
-42.00000E-03,-16.92261327E+00,-2.41206032E+00
-41.95000E-03,-16.92261327E+00,-2.41206032E+00
-41.90000E-03,-16.87236202E+00,-2.41206032E+00
-41.85000E-03,-16.87236202E+00,-2.41206032E+00
-41.80000E-03,-17.22412081E+00,-2.41206032E+00
-41.75000E-03,-17.22412081E+00,-2.56281409E+00
-41.70000E-03,-16.87236202E+00,-2.41206032E+00
-41.65000E-03,-16.87236202E+00,-2.41206032E+00
-41.60000E-03,-16.92261327E+00,-2.23618092E+00
-41.55000E-03,-16.87236202E+00,-2.23618092E+00
-41.50000E-03,-16.87236202E+00,-2.58793972E+00
-41.45000E-03,-16.87236202E+00,-2.41206032E+00
-41.40000E-03,-16.57085448E+00,-2.78894475E+00
-41.35000E-03,-16.87236202E+00,-2.26130655E+00
-41.30000E-03,-16.87236202E+00,-1.80904524E+00
-41.25000E-03,-16.87236202E+00,-2.58793972E+00
-41.20000E-03,-16.52060322E+00,-2.23618092E+00
-41.15000E-03,-16.87236202E+00,-2.41206032E+00
-41.10000E-03,-17.12361830E+00,-2.38693469E+00
-41.05000E-03,-17.22412081E+00,-2.38693469E+00
-41.00000E-03,-16.92261327E+00,-2.38693469E+00
-40.95000E-03,-16.92261327E+00,-2.38693469E+00
-40.90000E-03,-16.87236202E+00,-2.21105529E+00
-40.85000E-03,-16.92261327E+00,-2.41206032E+00
-40.80000E-03,-16.87236202E+00,-2.03517590E+00
-40.75000E-03,-16.82211076E+00,-2.03517590E+00
-40.70000E-03,-16.87236202E+00,-2.38693469E+00
-40.65000E-03,-16.87236202E+00,-2.38693469E+00
-40.60000E-03,-16.87236202E+00,-2.58793972E+00
-40.55000E-03,-16.82211076E+00,-2.21105529E+00
-40.50000E-03,-16.47035196E+00,-2.41206032E+00
-40.45000E-03,-16.87236202E+00,-2.23618092E+00
-40.40000E-03,-17.22412081E+00,-2.01005027E+00
-40.35000E-03,-16.82211076E+00,-2.41206032E+00
-40.30000E-03,-17.22412081E+00,-2.21105529E+00
-40.25000E-03,-16.52060322E+00,-2.01005027E+00
-40.20000E-03,-17.22412081E+00,-2.23618092E+00
-40.15000E-03,-16.87236202E+00,-2.21105529E+00
-40.10000E-03,-17.17386956E+00,-2.21105529E+00
-40.05000E-03,-16.87236202E+00,-2.23618092E+00
-40.00000E-03,-17.27437207E+00,-2.41206032E+00
-39.95000E-03,-16.87236202E+00,-2.21105529E+00
-39.90000E-03,-16.87236202E+00,-2.23618092E+00
-39.85000E-03,-16.82211076E+00,-2.43718595E+00
-39.80000E-03,-16.87236202E+00,-2.21105529E+00
-39.75000E-03,-16.87236202E+00,-2.23618092E+00
-39.70000E-03,-16.52060322E+00,-2.41206032E+00
-39.65000E-03,-16.52060322E+00,-2.38693469E+00
-39.60000E-03,-16.87236202E+00,-2.41206032E+00
-39.55000E-03,-16.87236202E+00,-2.23618092E+00
-39.50000E-03,-7.97788959E+00,-1.78391961E+00
-39.45000E-03,-1.59597999E+00,-628.14071E-03
-39.40000E-03,+4.03216076E+00,+402.01005E-03
-39.35000E-03,+7.19798993E+00,+1.00502513E+00
-39.30000E-03,+10.41407036E+00,+1.60804021E+00
-39.25000E-03,+12.12261308E+00,+2.21105529E+00
-39.20000E-03,+13.73065330E+00,+2.41206032E+00
-39.15000E-03,+14.83618094E+00,+2.61306535E+00
-39.10000E-03,+15.28844225E+00,+2.98994977E+00
-39.05000E-03,+15.74070356E+00,+3.01507540E+00
-39.00000E-03,+16.09246236E+00,+3.01507540E+00
-38.95000E-03,+16.44422116E+00,+2.83919600E+00
-38.90000E-03,+16.54472367E+00,+3.19095480E+00
-38.85000E-03,+16.89648247E+00,+3.04020103E+00
-38.80000E-03,+16.49447241E+00,+3.21608043E+00
-38.75000E-03,+16.84623121E+00,+3.19095480E+00
-38.70000E-03,+16.49447241E+00,+3.01507540E+00
-38.65000E-03,+16.89648247E+00,+3.01507540E+00
-38.60000E-03,+17.19799001E+00,+3.01507540E+00
-38.55000E-03,+16.54472367E+00,+3.01507540E+00
-38.50000E-03,+16.89648247E+00,+3.01507540E+00
-38.45000E-03,+16.54472367E+00,+3.19095480E+00
-38.40000E-03,+16.89648247E+00,+3.01507540E+00
-38.35000E-03,+17.19799001E+00,+3.01507540E+00
-38.30000E-03,+16.84623121E+00,+3.01507540E+00
-38.25000E-03,+17.24824126E+00,+3.19095480E+00
-38.20000E-03,+16.54472367E+00,+3.04020103E+00
-38.15000E-03,+16.49447241E+00,+3.01507540E+00
-38.10000E-03,+16.89648247E+00,+3.01507540E+00
-38.05000E-03,+16.84623121E+00,+3.41708545E+00
-38.00000E-03,+16.84623121E+00,+3.21608043E+00
-37.95000E-03,+16.89648247E+00,+3.01507540E+00
-37.90000E-03,+16.89648247E+00,+2.81407037E+00
-37.85000E-03,+16.54472367E+00,+3.01507540E+00
-37.80000E-03,+16.89648247E+00,+3.01507540E+00
-37.75000E-03,+16.84623121E+00,+3.01507540E+00
-37.70000E-03,+16.54472367E+00,+3.19095480E+00
-37.65000E-03,+16.89648247E+00,+3.19095480E+00
-37.60000E-03,+16.89648247E+00,+3.19095480E+00
-37.55000E-03,+16.89648247E+00,+2.98994977E+00
-37.50000E-03,+16.89648247E+00,+3.01507540E+00
-37.45000E-03,+16.54472367E+00,+2.81407037E+00
-37.40000E-03,+16.84623121E+00,+2.86432163E+00
-37.35000E-03,+16.84623121E+00,+2.83919600E+00
-37.30000E-03,+16.84623121E+00,+3.04020103E+00
-37.25000E-03,+16.54472367E+00,+2.88944726E+00
-37.20000E-03,+16.54472367E+00,+2.83919600E+00
-37.15000E-03,+16.89648247E+00,+3.06532666E+00
-37.10000E-03,+16.94673372E+00,+3.21608043E+00
-37.05000E-03,+17.19799001E+00,+3.36683420E+00
-37.00000E-03,+16.84623121E+00,+3.24120606E+00
-36.95000E-03,+16.89648247E+00,+3.01507540E+00
-36.90000E-03,+16.54472367E+00,+3.19095480E+00
-36.85000E-03,+16.89648247E+00,+2.81407037E+00
-36.80000E-03,+16.84623121E+00,+603.01508E-03
-36.75000E-03,+16.84623121E+00,+2.81407037E+00
