frequencia(Hz),V0(V),Vr(V),Vc(V)
50.28,8.5,1.0,8.2
99.2,8.5,1.4,8.2
152.9,8.5,2.0,8.0
206.8,8.5,2.6,7.9
342.2,8.5,3.9,7.2
375.30,8.4,4.0,7.1
410.0,8.3,4.3,7.0
517.7,8.3,5.0,6.4
862.7,8.2,6.3,5.0
1472,8.2,7.1,3.2
1932,8.1,7.4,2.8
2549,8.1,7.6,2.3
3142,8.1,7.7,1.9
4397,8.0,7.8,1.3
8103,8.1,8.0,1.1
20390,8.1,8.0,0.4
